id,sympy,natural_language
1220,"ForAll(v, Implies(Q(v), Exists(w, M(v,w))))","For all v, if Q(v) then there exists w such that M(v,w)."
1221,"Exists(x, Exists(w, Exists(v, And(L(x,w), L(w,v)))))","There exist x, w, and v such that L(x,w) and L(w,v)."
1222,"ForAll(x, Implies(S(x), S(x)))","For all x, if S(x) then S(x)."
1223,"ForAll(y, Or(Q(y), Exists(w, V(w))))","For all y, either Q(y) or there exists w such that V(w)."
1224,"ForAll(x, Implies(And(S(x), V(x)), S(x)))","For all x, if S(x) and V(x) then S(x)."
1225,"Exists(u, And(P(u), T(u)))",There exists u such that P(u) and T(u).
1226,"ForAll(w, Implies(And(P(w), S(w)), P(w)))","For all w, if P(w) and S(w) then P(w)."
1227,"ForAll(x, Implies(Exists(u, L(x,u)), T(x)))","For all x, if there exists u with L(x,u) then T(x)."
1228,"ForAll(w, Implies(P(w), P(w)))","For all w, if P(w) then P(w)."
1229,"ForAll(v, Equivalent(U(v), V(v)))","For all v, U(v) if and only if V(v)."
1230,"Exists(w, And(Q(w), R(w)))",There exists w such that Q(w) and R(w).
1231,"ForAll(v, Exists(y, M(v,y)))","For all v, there exists y such that M(v,y)."
1232,"Exists(w, And(Not(P(w)), Exists(z, N(w,z))))","There exists w such that not P(w) and there exists z with N(w,z)."
1233,"Exists(z, ForAll(y, Equivalent(T(z), N(z,y))))","There exists z such that for all y, T(z) iff N(z,y)."
1234,"ForAll(w, Implies(V(w), Q(w)))","For all w, if V(w) then Q(w)."
1235,"ForAll(y, Or(Q(y), Exists(v, V(v))))","For all y, either Q(y) or there exists v such that V(v)."
1236,"Exists(y, Exists(w, And(O(y,w), T(y))))","There exist y and w such that O(y,w) and T(y)."
1237,"Exists(u, Implies(V(u), ForAll(v, T(v))))","There exists u such that if V(u) then for all v, T(v)."
1238,"ForAll(u, Or(Not(S(u)), S(u)))","For all u, either not S(u) or S(u)."
1239,"Exists(u, ForAll(v, Equivalent(Q(u), N(u,v))))","There exists u such that for all v, Q(u) iff N(u,v)."
1240,"ForAll(v, Implies(Exists(x, L(v,x)), R(v)))","For all v, if there exists x with L(v,x) then R(v)."
1241,"ForAll(y, Implies(S(y), Or(Q(y), P(y))))","For all y, if S(y) then Q(y) or P(y)."
1242,"ForAll(z, Equivalent(S(z), R(z)))","For all z, S(z) if and only if R(z)."
1243,"ForAll(z, Equivalent(P(z), V(z)))","For all z, P(z) if and only if V(z)."
1244,"Exists(y, ForAll(z, Implies(L(y,z), R(z))))","There exists y such that for all z, if L(y,z) then R(z)."
1245,"Exists(u, Implies(Q(u), ForAll(z, T(z))))","There exists u such that if Q(u) then for all z, T(z)."
1246,"Exists(u, Not(R(u)))",There exists u such that not R(u).
1247,"Exists(u, Exists(v, And(O(u,v), S(u))))","There exist u and v such that O(u,v) and S(u)."
1248,"ForAll(y, Implies(P(y), Q(y)))","For all y, if P(y) then Q(y)."
1249,"ForAll(u, Implies(S(u), Or(T(u), V(u))))","For all u, if S(u) then T(u) or V(u)."
1250,"ForAll(w, Or(V(w), Exists(u, P(u))))","For all w, either V(w) or there exists u such that P(u)."
1251,"Exists(z, Implies(R(z), ForAll(y, Q(y))))","There exists z such that if R(z) then for all y, Q(y)."
1252,"ForAll(w, Implies(U(w), And(Q(w), V(w))))","For all w, if U(w) then Q(w) and V(w)."
1253,"ForAll(y, Or(S(y), Exists(z, Q(z))))","For all y, either S(y) or there exists z such that Q(z)."
1254,"ForAll(u, Implies(R(u), V(u)))","For all u, if R(u) then V(u)."
1255,"ForAll(v, Or(Not(T(v)), R(v)))","For all v, either not T(v) or R(v)."
1256,"ForAll(v, Implies(S(v), V(v)))","For all v, if S(v) then V(v)."
1257,"Exists(z, Exists(w, Exists(v, And(O(z,w), O(w,v)))))","There exist z, w, and v such that O(z,w) and O(w,v)."
1258,"Exists(v, ForAll(x, Equivalent(Q(v), M(v,x))))","There exists v such that for all x, Q(v) iff M(v,x)."
1259,"ForAll(v, Implies(S(v), And(Q(v), T(v))))","For all v, if S(v) then Q(v) and T(v)."
1260,"ForAll(v, Implies(U(v), Exists(u, O(v,u))))","For all v, if U(v) then there exists u such that O(v,u)."
1261,"ForAll(x, Equivalent(U(x), S(x)))","For all x, U(x) if and only if S(x)."
1262,"ForAll(x, Implies(U(x), And(Q(x), Q(x))))","For all x, if U(x) then Q(x) and Q(x)."
1263,"ForAll(x, Or(V(x), Exists(z, V(z))))","For all x, either V(x) or there exists z such that V(z)."
1264,"Exists(v, ForAll(u, Equivalent(P(v), M(v,u))))","There exists v such that for all u, P(v) iff M(v,u)."
1265,"ForAll(y, Exists(w, L(y,w)))","For all y, there exists w such that L(y,w)."
1266,"ForAll(w, Implies(U(w), Or(R(w), P(w))))","For all w, if U(w) then R(w) or P(w)."
1267,"Exists(w, ForAll(v, Implies(O(w,v), T(v))))","There exists w such that for all v, if O(w,v) then T(v)."
1268,"ForAll(u, ForAll(w, Implies(N(u,w), N(w,u))))","For all u and w, if N(u,w) then N(w,u)."
1269,"Exists(u, Implies(S(u), ForAll(z, U(z))))","There exists u such that if S(u) then for all z, U(z)."
1270,"Exists(v, Implies(Q(v), ForAll(z, Q(z))))","There exists v such that if Q(v) then for all z, Q(z)."
1271,"Exists(w, And(Not(R(w)), Exists(z, L(w,z))))","There exists w such that not R(w) and there exists z with L(w,z)."
1272,"ForAll(v, Or(T(v), Exists(z, R(z))))","For all v, either T(v) or there exists z such that R(z)."
1273,"ForAll(w, Or(V(w), Exists(x, V(x))))","For all w, either V(w) or there exists x such that V(x)."
1274,"Exists(u, ForAll(w, Equivalent(R(u), M(u,w))))","There exists u such that for all w, R(u) iff M(u,w)."
1275,"ForAll(z, Or(Not(P(z)), Q(z)))","For all z, either not P(z) or Q(z)."
1276,"Exists(w, Exists(u, And(L(w,u), Q(w))))","There exist w and u such that L(w,u) and Q(w)."
1277,"Exists(u, ForAll(v, Implies(N(u,v), P(v))))","There exists u such that for all v, if N(u,v) then P(v)."
1278,"ForAll(x, Or(V(x), Exists(z, T(z))))","For all x, either V(x) or there exists z such that T(z)."
1279,"Exists(w, ForAll(v, Implies(O(w,v), R(v))))","There exists w such that for all v, if O(w,v) then R(v)."
1280,"ForAll(u, ForAll(z, Implies(O(u,z), O(z,u))))","For all u and z, if O(u,z) then O(z,u)."
1281,"Exists(x, ForAll(z, Implies(O(x,z), Q(z))))","There exists x such that for all z, if O(x,z) then Q(z)."
1282,"Exists(z, Not(Q(z)))",There exists z such that not Q(z).
1283,"Exists(w, And(R(w), T(w)))",There exists w such that R(w) and T(w).
1284,"Exists(u, Exists(v, Exists(z, And(M(u,v), M(v,z)))))","There exist u, v, and z such that M(u,v) and M(v,z)."
1285,"Exists(x, ForAll(v, Equivalent(T(x), M(x,v))))","There exists x such that for all v, T(x) iff M(x,v)."
1286,"ForAll(y, Implies(Q(y), Or(R(y), R(y))))","For all y, if Q(y) then R(y) or R(y)."
1287,"ForAll(u, Equivalent(R(u), T(u)))","For all u, R(u) if and only if T(u)."
1288,"Exists(y, And(Not(U(y)), Exists(x, N(y,x))))","There exists y such that not U(y) and there exists x with N(y,x)."
1289,"ForAll(z, Implies(Exists(x, O(z,x)), T(z)))","For all z, if there exists x with O(z,x) then T(z)."
1290,"ForAll(z, Equivalent(Q(z), Q(z)))","For all z, Q(z) if and only if Q(z)."
1291,"Exists(z, Exists(x, And(N(z,x), V(z))))","There exist z and x such that N(z,x) and V(z)."
1292,"ForAll(x, Exists(v, L(x,v)))","For all x, there exists v such that L(x,v)."
1293,"Exists(v, And(Not(S(v)), Exists(y, O(v,y))))","There exists v such that not S(v) and there exists y with O(v,y)."
1294,"Exists(u, Implies(R(u), ForAll(x, P(x))))","There exists u such that if R(u) then for all x, P(x)."
1295,"ForAll(u, Implies(V(u), And(U(u), T(u))))","For all u, if V(u) then U(u) and T(u)."
1296,"Exists(y, Exists(u, Exists(z, And(L(y,u), L(u,z)))))","There exist y, u, and z such that L(y,u) and L(u,z)."
1297,"Exists(x, Implies(U(x), ForAll(z, P(z))))","There exists x such that if U(x) then for all z, P(z)."
1298,"ForAll(w, Implies(Exists(z, N(w,z)), P(w)))","For all w, if there exists z with N(w,z) then P(w)."
1299,"ForAll(y, Or(Not(Q(y)), T(y)))","For all y, either not Q(y) or T(y)."
1300,"ForAll(w, Implies(S(w), And(Q(w), P(w))))","For all w, if S(w) then Q(w) and P(w)."
1301,"ForAll(u, Implies(T(u), Exists(x, N(u,x))))","For all u, if T(u) then there exists x such that N(u,x)."
1302,"ForAll(w, Implies(T(w), Or(Q(w), V(w))))","For all w, if T(w) then Q(w) or V(w)."
1303,"Exists(w, ForAll(z, Implies(N(w,z), S(z))))","There exists w such that for all z, if N(w,z) then S(z)."
1304,"Exists(x, Implies(U(x), ForAll(z, Q(z))))","There exists x such that if U(x) then for all z, Q(z)."
1305,"Exists(v, Exists(w, And(M(v,w), T(v))))","There exist v and w such that M(v,w) and T(v)."
1306,"ForAll(w, Or(Not(T(w)), Q(w)))","For all w, either not T(w) or Q(w)."
1307,"ForAll(x, Implies(U(x), Or(T(x), S(x))))","For all x, if U(x) then T(x) or S(x)."
1308,"Exists(x, Implies(T(x), ForAll(y, P(y))))","There exists x such that if T(x) then for all y, P(y)."
1309,"Exists(z, ForAll(u, Implies(M(z,u), P(u))))","There exists z such that for all u, if M(z,u) then P(u)."
1310,"Exists(v, Implies(Q(v), ForAll(u, R(u))))","There exists v such that if Q(v) then for all u, R(u)."
1311,"ForAll(w, Or(T(w), Exists(z, Q(z))))","For all w, either T(w) or there exists z such that Q(z)."
1312,"Exists(y, ForAll(v, Implies(L(y,v), T(v))))","There exists y such that for all v, if L(y,v) then T(v)."
1313,"Exists(x, Implies(R(x), ForAll(w, S(w))))","There exists x such that if R(x) then for all w, S(w)."
1314,"ForAll(v, Exists(u, O(v,u)))","For all v, there exists u such that O(v,u)."
1315,"Exists(z, ForAll(w, Equivalent(S(z), N(z,w))))","There exists z such that for all w, S(z) iff N(z,w)."
1316,"ForAll(u, Or(S(u), Exists(y, Q(y))))","For all u, either S(u) or there exists y such that Q(y)."
1317,"ForAll(x, Implies(Exists(u, L(x,u)), V(x)))","For all x, if there exists u with L(x,u) then V(x)."
1318,"ForAll(w, Implies(V(w), Exists(v, L(w,v))))","For all w, if V(w) then there exists v such that L(w,v)."
1319,"Exists(z, ForAll(v, Implies(L(z,v), S(v))))","There exists z such that for all v, if L(z,v) then S(v)."
1320,"ForAll(v, Implies(And(R(v), P(v)), Q(v)))","For all v, if R(v) and P(v) then Q(v)."
1321,"ForAll(x, Implies(T(x), And(U(x), R(x))))","For all x, if T(x) then U(x) and R(x)."
1322,"Exists(v, Exists(z, And(L(v,z), S(v))))","There exist v and z such that L(v,z) and S(v)."
1323,"ForAll(x, Implies(R(x), Or(Q(x), P(x))))","For all x, if R(x) then Q(x) or P(x)."
1324,"Exists(y, Exists(w, Exists(z, And(N(y,w), N(w,z)))))","There exist y, w, and z such that N(y,w) and N(w,z)."
1325,"ForAll(y, Implies(V(y), Or(S(y), P(y))))","For all y, if V(y) then S(y) or P(y)."
1326,"ForAll(y, Implies(And(V(y), P(y)), S(y)))","For all y, if V(y) and P(y) then S(y)."
1327,"ForAll(v, Implies(And(R(v), T(v)), T(v)))","For all v, if R(v) and T(v) then T(v)."
1328,"Exists(y, And(T(y), P(y)))",There exists y such that T(y) and P(y).
1329,"ForAll(v, Implies(Exists(z, N(v,z)), U(v)))","For all v, if there exists z with N(v,z) then U(v)."
1330,"ForAll(v, Implies(P(v), And(R(v), R(v))))","For all v, if P(v) then R(v) and R(v)."
1331,"Exists(v, Exists(z, And(N(v,z), V(v))))","There exist v and z such that N(v,z) and V(v)."
1332,"ForAll(x, Implies(Exists(v, L(x,v)), V(x)))","For all x, if there exists v with L(x,v) then V(x)."
1333,"ForAll(y, Implies(Q(y), Or(V(y), Q(y))))","For all y, if Q(y) then V(y) or Q(y)."
1334,"Exists(y, Exists(z, And(N(y,z), T(y))))","There exist y and z such that N(y,z) and T(y)."
1335,"Exists(v, Implies(V(v), ForAll(w, U(w))))","There exists v such that if V(v) then for all w, U(w)."
1336,"ForAll(z, ForAll(y, Implies(M(z,y), M(y,z))))","For all z and y, if M(z,y) then M(y,z)."
1337,"ForAll(y, Implies(R(y), Exists(u, O(y,u))))","For all y, if R(y) then there exists u such that O(y,u)."
1338,"ForAll(w, Or(Q(w), Exists(x, T(x))))","For all w, either Q(w) or there exists x such that T(x)."
1339,"ForAll(z, Equivalent(R(z), P(z)))","For all z, R(z) if and only if P(z)."
1340,"ForAll(w, Implies(P(w), Or(P(w), U(w))))","For all w, if P(w) then P(w) or U(w)."
1341,"ForAll(y, Implies(T(y), Or(R(y), U(y))))","For all y, if T(y) then R(y) or U(y)."
1342,"ForAll(u, Implies(P(u), Or(P(u), V(u))))","For all u, if P(u) then P(u) or V(u)."
1343,"ForAll(u, Implies(U(u), V(u)))","For all u, if U(u) then V(u)."
1344,"Exists(x, Exists(y, And(L(x,y), U(x))))","There exist x and y such that L(x,y) and U(x)."
1345,"Exists(x, And(Not(S(x)), Exists(z, M(x,z))))","There exists x such that not S(x) and there exists z with M(x,z)."
1346,"ForAll(y, Or(Not(P(y)), U(y)))","For all y, either not P(y) or U(y)."
1347,"ForAll(z, Implies(Q(z), And(R(z), R(z))))","For all z, if Q(z) then R(z) and R(z)."
1348,"Exists(z, Exists(y, Exists(u, And(O(z,y), O(y,u)))))","There exist z, y, and u such that O(z,y) and O(y,u)."
1349,"ForAll(u, Implies(And(R(u), S(u)), R(u)))","For all u, if R(u) and S(u) then R(u)."
1350,"ForAll(z, Or(Not(T(z)), V(z)))","For all z, either not T(z) or V(z)."
1351,"ForAll(v, Implies(P(v), And(S(v), R(v))))","For all v, if P(v) then S(v) and R(v)."
1352,"ForAll(y, Implies(Q(y), Exists(z, O(y,z))))","For all y, if Q(y) then there exists z such that O(y,z)."
1353,"ForAll(x, Exists(w, N(x,w)))","For all x, there exists w such that N(x,w)."
1354,"ForAll(w, Implies(S(w), Or(U(w), S(w))))","For all w, if S(w) then U(w) or S(w)."
1355,"ForAll(x, Implies(And(V(x), Q(x)), S(x)))","For all x, if V(x) and Q(x) then S(x)."
1356,"ForAll(w, Implies(And(T(w), P(w)), Q(w)))","For all w, if T(w) and P(w) then Q(w)."
1357,"ForAll(y, Implies(And(R(y), Q(y)), S(y)))","For all y, if R(y) and Q(y) then S(y)."
1358,"ForAll(v, Implies(And(P(v), Q(v)), U(v)))","For all v, if P(v) and Q(v) then U(v)."
1359,"ForAll(w, Or(Not(P(w)), R(w)))","For all w, either not P(w) or R(w)."
1360,"Exists(x, And(U(x), U(x)))",There exists x such that U(x) and U(x).
1361,"Exists(w, Implies(Q(w), ForAll(v, S(v))))","There exists w such that if Q(w) then for all v, S(v)."
1362,"Exists(z, ForAll(x, Equivalent(Q(z), L(z,x))))","There exists z such that for all x, Q(z) iff L(z,x)."
1363,"Exists(v, ForAll(w, Equivalent(U(v), L(v,w))))","There exists v such that for all w, U(v) iff L(v,w)."
1364,"Exists(w, Exists(y, And(M(w,y), U(w))))","There exist w and y such that M(w,y) and U(w)."
1365,"ForAll(z, Implies(And(T(z), V(z)), S(z)))","For all z, if T(z) and V(z) then S(z)."
1366,"ForAll(x, Implies(And(P(x), R(x)), T(x)))","For all x, if P(x) and R(x) then T(x)."
1367,"ForAll(w, Implies(Q(w), Or(P(w), V(w))))","For all w, if Q(w) then P(w) or V(w)."
1368,"ForAll(y, Implies(And(Q(y), V(y)), S(y)))","For all y, if Q(y) and V(y) then S(y)."
1369,"ForAll(x, Implies(T(x), Exists(v, M(x,v))))","For all x, if T(x) then there exists v such that M(x,v)."
1370,"ForAll(v, Implies(P(v), R(v)))","For all v, if P(v) then R(v)."
1371,"ForAll(v, Implies(Q(v), Q(v)))","For all v, if Q(v) then Q(v)."
1372,"Exists(y, ForAll(u, Equivalent(R(y), L(y,u))))","There exists y such that for all u, R(y) iff L(y,u)."
1373,"ForAll(u, Or(R(u), Exists(y, T(y))))","For all u, either R(u) or there exists y such that T(y)."
1374,"Exists(y, ForAll(u, Equivalent(S(y), M(y,u))))","There exists y such that for all u, S(y) iff M(y,u)."
1375,"Exists(x, And(Not(R(x)), Exists(v, L(x,v))))","There exists x such that not R(x) and there exists v with L(x,v)."
1376,"Exists(w, ForAll(x, Equivalent(U(w), L(w,x))))","There exists w such that for all x, U(w) iff L(w,x)."
1377,"ForAll(z, Implies(Q(z), P(z)))","For all z, if Q(z) then P(z)."
1378,"Exists(u, Exists(x, Exists(y, And(L(u,x), L(x,y)))))","There exist u, x, and y such that L(u,x) and L(x,y)."
1379,"ForAll(y, Equivalent(U(y), Q(y)))","For all y, U(y) if and only if Q(y)."
1380,"ForAll(v, Or(Not(R(v)), U(v)))","For all v, either not R(v) or U(v)."
1381,"ForAll(u, Or(Not(Q(u)), S(u)))","For all u, either not Q(u) or S(u)."
1382,"ForAll(x, Implies(Q(x), V(x)))","For all x, if Q(x) then V(x)."
1383,"ForAll(v, Implies(S(v), Or(S(v), R(v))))","For all v, if S(v) then S(v) or R(v)."
1384,"Exists(u, Exists(z, Exists(x, And(O(u,z), O(z,x)))))","There exist u, z, and x such that O(u,z) and O(z,x)."
1385,"ForAll(v, ForAll(w, Implies(N(v,w), N(w,v))))","For all v and w, if N(v,w) then N(w,v)."
1386,"ForAll(w, Implies(T(w), V(w)))","For all w, if T(w) then V(w)."
1387,"Exists(v, Implies(S(v), ForAll(y, S(y))))","There exists v such that if S(v) then for all y, S(y)."
1388,"ForAll(z, Implies(R(z), R(z)))","For all z, if R(z) then R(z)."
1389,"ForAll(v, Implies(V(v), And(U(v), V(v))))","For all v, if V(v) then U(v) and V(v)."
1390,"Exists(z, ForAll(y, Equivalent(T(z), M(z,y))))","There exists z such that for all y, T(z) iff M(z,y)."
1391,"Exists(x, Implies(Q(x), ForAll(y, Q(y))))","There exists x such that if Q(x) then for all y, Q(y)."
1392,"ForAll(u, Implies(Q(u), And(U(u), S(u))))","For all u, if Q(u) then U(u) and S(u)."
1393,"ForAll(w, Exists(z, L(w,z)))","For all w, there exists z such that L(w,z)."
1394,"ForAll(y, Implies(T(y), Or(S(y), P(y))))","For all y, if T(y) then S(y) or P(y)."
1395,"ForAll(y, Or(S(y), Exists(v, R(v))))","For all y, either S(y) or there exists v such that R(v)."
1396,"Exists(z, ForAll(y, Implies(L(z,y), T(y))))","There exists z such that for all y, if L(z,y) then T(y)."
1397,"ForAll(u, ForAll(v, Implies(M(u,v), M(v,u))))","For all u and v, if M(u,v) then M(v,u)."
1398,"ForAll(v, Implies(P(v), Or(S(v), Q(v))))","For all v, if P(v) then S(v) or Q(v)."
1399,"ForAll(y, Implies(And(V(y), V(y)), V(y)))","For all y, if V(y) and V(y) then V(y)."
1400,"ForAll(w, Implies(And(Q(w), P(w)), P(w)))","For all w, if Q(w) and P(w) then P(w)."
1401,"Exists(u, ForAll(y, Equivalent(S(u), O(u,y))))","There exists u such that for all y, S(u) iff O(u,y)."
1402,"ForAll(u, Or(P(u), Exists(y, Q(y))))","For all u, either P(u) or there exists y such that Q(y)."
1403,"Exists(u, Implies(Q(u), ForAll(x, S(x))))","There exists u such that if Q(u) then for all x, S(x)."
1404,"ForAll(x, Implies(And(S(x), S(x)), T(x)))","For all x, if S(x) and S(x) then T(x)."
1405,"Exists(z, ForAll(w, Implies(L(z,w), S(w))))","There exists z such that for all w, if L(z,w) then S(w)."
1406,"ForAll(v, Implies(P(v), Or(U(v), V(v))))","For all v, if P(v) then U(v) or V(v)."
1407,"Exists(x, Exists(w, Exists(u, And(M(x,w), M(w,u)))))","There exist x, w, and u such that M(x,w) and M(w,u)."
1408,"ForAll(y, Equivalent(R(y), P(y)))","For all y, R(y) if and only if P(y)."
1409,"ForAll(y, Or(Not(Q(y)), S(y)))","For all y, either not Q(y) or S(y)."
1410,"ForAll(w, Implies(V(w), Exists(z, N(w,z))))","For all w, if V(w) then there exists z such that N(w,z)."
1411,"ForAll(u, Implies(Q(u), And(S(u), Q(u))))","For all u, if Q(u) then S(u) and Q(u)."
1412,"ForAll(y, Implies(U(y), V(y)))","For all y, if U(y) then V(y)."
1413,"Exists(w, ForAll(v, Equivalent(Q(w), L(w,v))))","There exists w such that for all v, Q(w) iff L(w,v)."
1414,"Exists(w, And(P(w), U(w)))",There exists w such that P(w) and U(w).
1415,"ForAll(z, Implies(And(R(z), V(z)), Q(z)))","For all z, if R(z) and V(z) then Q(z)."
1416,"Exists(y, Implies(R(y), ForAll(x, P(x))))","There exists y such that if R(y) then for all x, P(x)."
1417,"Exists(v, ForAll(y, Equivalent(R(v), N(v,y))))","There exists v such that for all y, R(v) iff N(v,y)."
1418,"ForAll(z, ForAll(x, Implies(O(z,x), O(x,z))))","For all z and x, if O(z,x) then O(x,z)."
1419,"Exists(x, Implies(T(x), ForAll(v, U(v))))","There exists x such that if T(x) then for all v, U(v)."
1420,"Exists(w, Exists(y, And(N(w,y), Q(w))))","There exist w and y such that N(w,y) and Q(w)."
1421,"ForAll(x, Implies(And(T(x), U(x)), T(x)))","For all x, if T(x) and U(x) then T(x)."
1422,"ForAll(u, Or(Q(u), Exists(x, R(x))))","For all u, either Q(u) or there exists x such that R(x)."
1423,"ForAll(u, Equivalent(R(u), S(u)))","For all u, R(u) if and only if S(u)."
1424,"ForAll(x, Implies(R(x), U(x)))","For all x, if R(x) then U(x)."
1425,"Exists(v, Implies(Q(v), ForAll(x, U(x))))","There exists v such that if Q(v) then for all x, U(x)."
