expression,english_description
"∃y (Human(y) ∧ ∀v (Dog(v) → Subset(y,w)))","There exists y such that y is a human and For every v, if v is a dog, then y is a subset of w"
"((∀z (Professor(z) → g(x) = h(x)) → ∀z (Mortal(z) → Greater(z,g(v)))) → Cat(2))","If if For every z, if z is a professor, then g(x) equals h(x), then For every z, if z is mortal, then z is greater than g(v), then 2 is a cat"
"Equal(y,0)",Y is equal to 0
∀v ∀z ¬Dog(f(w)),"For every v, For every z, It is not the case that f(w) is a dog"
"¬Subset(a,x)",It is not the case that a is a subset of x
"∃y Loves(v,w)","There exists y, v loves w"
"ParentOf(h(z),2)",H(z) is a parent of 2
"((Dog(w) ∨ ∀w (Animal(w) → Animal(f(g(f(w)))))) ∧ ((Friend(g(u),z) ↔ 2 = z) → ¬Prime(u)))","W is a dog or For every w, if w is an animal, then f(g(f(w))) is an animal and if g(u) is a friend of z if and only if 2 equals z, then It is not the case that u is prime"
"(¬(ParentOf(h(0),g(w)) ∨ Subset(z,y)) ∧ Greater(y,w))",It is not the case that h(0) is a parent of g(w) or z is a subset of y and y is greater than w
"((∀u Prime(u) ↔ ∀z Cat(1)) ∧ (Friend(x,g(z)) ∧ Less(2,1)))","For every u, u is prime if and only if For every z, 1 is a cat and x is a friend of g(z) and 2 is less than 1"
∀u (Mortal(u) → Animal(c)),"For every u, if u is mortal, then c is an animal"
"(Member(w,g(v)) ∧ ∃w (Dog(w) ∧ Cat(v)))",W is a member of g(v) and There exists w such that w is a dog and v is a cat
"Knows(1,a)",1 knows a
(Professor(z) ∨ (Even(h(f(u))) ↔ Even(f(w)))),Z is a professor or h(f(u)) is even if and only if f(w) is even
b = h(x),B equals h(x)
"(¬Knows(1,2) ∨ (¬Friend(v,h(u)) ↔ ∃v (Human(v) ∧ Prime(f(v)))))",It is not the case that 1 knows 2 or It is not the case that v is a friend of h(u) if and only if There exists v such that v is a human and f(v) is prime
"ParentOf(f(x),f(y))",F(x) is a parent of f(y)
f(z) = x,F(z) equals x
"(Loves(1,u) ↔ Human(u))",1 loves u if and only if u is a human
"(¬Greater(v,u) ∨ ¬z = w)",It is not the case that v is greater than u or It is not the case that z equals w
"Less(g(y),u)",G(y) is less than u
"Friend(y,x)",Y is a friend of x
"∃y (Dog(y) ∧ ∀y (ParentOf(u,w) ∧ Cat(1)))","There exists y such that y is a dog and For every y, u is a parent of w and 1 is a cat"
¬Animal(2),It is not the case that 2 is an animal
"Greater(v,v)",V is greater than v
¬Even(y),It is not the case that y is even
"∃z (Mortal(z) ∧ (Member(x,x) → Member(v,f(h(w)))))","There exists z such that z is mortal and if x is a member of x, then v is a member of f(h(w))"
"((¬Human(f(f(h(z)))) ∧ (b = z ∧ Human(g(w)))) ∧ ((Friend(2,w) ∧ Knows(f(x),z)) ∧ (Likes(g(z),b) ∧ Mortal(f(v)))))",It is not the case that f(f(h(z))) is a human and b equals z and g(w) is a human and 2 is a friend of w and f(x) knows z and g(z) likes b and f(v) is mortal
"Greater(g(v),x)",G(v) is greater than x
"(∃x (Professor(x) ∧ (Cat(1) → Member(z,g(v)))) → ∀w (Animal(w) → Subset(h(z),w)))","If There exists x such that x is a professor and if 1 is a cat, then z is a member of g(v), then For every w, if w is an animal, then h(z) is a subset of w"
v = 1,V equals 1
"Subset(x,2)",X is a subset of 2
¬∃z (Animal(b) ∨ Odd(1)),"It is not the case that There exists z, b is an animal or 1 is odd"
∃w (Odd(w) ∧ ((Even(x) → Odd(g(w))) ∧ ¬u = f(z))),"There exists w such that w is odd and if x is even, then g(w) is odd and It is not the case that u equals f(z)"
"¬Member(w,g(f(z)))",It is not the case that w is a member of g(f(z))
"Friend(2,x)",2 is a friend of x
"∀u (Dog(u) → (Knows(a,x) ∨ ∃x (Mortal(x) ∧ Prime(x))))","For every u, if u is a dog, then a knows x or There exists x such that x is mortal and x is prime"
"Less(f(u),f(g(v)))",F(u) is less than f(g(v))
2 = x,2 equals x
"(((Animal(z) ∨ z = y) ∧ ¬Likes(y,2)) ∧ Cat(w))",Z is an animal or z equals y and It is not the case that y likes 2 and w is a cat
"(¬Less(1,2) ↔ (Less(u,w) → y = b))","It is not the case that 1 is less than 2 if and only if if u is less than w, then y equals b"
∀v (Professor(v) → Even(g(w))),"For every v, if v is a professor, then g(w) is even"
¬Student(f(u)),It is not the case that f(u) is a student
z = z,Z equals z
∃x u = w,"There exists x, u equals w"
"∃v ((Animal(u) ↔ Knows(0,u)) ↔ Likes(x,c))","There exists v, u is an animal if and only if 0 knows u if and only if x likes c"
"Subset(f(y),w)",F(y) is a subset of w
"(ParentOf(f(y),u) ↔ ∃u (Cat(g(x)) ∧ Odd(h(x))))","F(y) is a parent of u if and only if There exists u, g(x) is a cat and h(x) is odd"
"(x = z → (Prime(h(z)) ↔ (Knows(g(w),c) ∧ Likes(w,x))))","If x equals z, then h(z) is prime if and only if g(w) knows c and w likes x"
"(Member(b,y) ↔ ∀u (Human(u) → Even(v)))","B is a member of y if and only if For every u, if u is a human, then v is even"
"(((Animal(b) → Member(h(z),f(z))) → ∀z (Even(z) → Likes(1,f(u)))) → (¬x = g(z) → ¬Less(w,x)))","If if if b is an animal, then h(z) is a member of f(z), then For every z, if z is even, then 1 likes f(u), then if It is not the case that x equals g(z), then It is not the case that w is less than x"
"Less(f(z),c)",F(z) is less than c
¬(Even(v) ∧ ∀x (Human(x) → Cat(g(z)))),"It is not the case that v is even and For every x, if x is a human, then g(z) is a cat"
"∀x ((Human(y) ∧ Knows(w,h(z))) ∧ (Loves(c,h(b)) ∧ Cat(w)))","For every x, y is a human and w knows h(z) and c loves h(b) and w is a cat"
Professor(g(c)),G(c) is a professor
"ParentOf(y,u)",Y is a parent of u
∀y (Human(y) → (Mortal(h(w)) ∨ ∃y (Prime(y) ∧ u = h(w)))),"For every y, if y is a human, then h(w) is mortal or There exists y such that y is prime and u equals h(w)"
w = w,W equals w
"¬Friend(u,x)",It is not the case that u is a friend of x
"Equal(2,z)",2 is equal to z
((f(u) = c ↔ Animal(v)) ∧ h(1) = f(a)),F(u) equals c if and only if v is an animal and h(1) equals f(a)
¬¬¬Human(y),It is not the case that It is not the case that It is not the case that y is a human
"ParentOf(f(z),z)",F(z) is a parent of z
"∀u (Odd(u) → ∀x (Mortal(x) → ParentOf(y,0)))","For every u, if u is odd, then For every x, if x is mortal, then y is a parent of 0"
"Knows(v,y)",V knows y
¬¬Even(u),It is not the case that It is not the case that u is even
"((¬Less(h(y),x) ∧ (Likes(2,f(y)) ∧ Less(h(v),w))) ∧ (y = z ∨ Human(x)))",It is not the case that h(y) is less than x and 2 likes f(y) and h(v) is less than w and y equals z or x is a human
"Greater(x,u)",X is greater than u
"∀w ∃z (Even(z) ∧ ∀y Equal(1,z))","For every w, There exists z such that z is even and For every y, 1 is equal to z"
"((Equal(h(v),f(v)) ∨ (Professor(z) → Professor(z))) → ¬Friend(y,z))","If h(v) is equal to f(v) or if z is a professor, then z is a professor, then It is not the case that y is a friend of z"
"Equal(1,y)",1 is equal to y
"∃z (Student(z) ∧ (∃x (Odd(x) ∧ Greater(g(y),u)) ↔ ¬Even(y)))",There exists z such that z is a student and There exists x such that x is odd and g(y) is greater than u if and only if It is not the case that y is even
∃u (Student(u) ∧ ¬∃u (Mortal(u) ∧ 1 = u)),There exists u such that u is a student and It is not the case that There exists u such that u is mortal and 1 equals u
∃y (Odd(y) ∧ Prime(w)),There exists y such that y is odd and w is prime
(∀v (Mortal(v) → ∃v (Human(v) ∧ Prime(z))) ↔ ¬∀y Mortal(u)),"For every v, if v is mortal, then There exists v such that v is a human and z is prime if and only if It is not the case that For every y, u is mortal"
h(f(v)) = f(x),H(f(v)) equals f(x)
∃w (Animal(w) ∧ Student(y)),There exists w such that w is an animal and y is a student
∀z (Animal(z) → Dog(z)),"For every z, if z is an animal, then z is a dog"
"(¬(Loves(2,g(g(2))) ∨ Animal(w)) ∧ h(y) = b)",It is not the case that 2 loves g(g(2)) or w is an animal and h(y) equals b
"(((Friend(g(v),w) → Member(g(z),h(x))) ↔ Animal(v)) ∧ Cat(f(u)))","If g(v) is a friend of w, then g(z) is a member of h(x) if and only if v is an animal and f(u) is a cat"
"∀u (Professor(u) → (Less(f(v),h(w)) ∧ ∀y Likes(v,v)))","For every u, if u is a professor, then f(v) is less than h(w) and For every y, v likes v"
"∃v ((Cat(x) ↔ Dog(x)) → (x = z → Greater(v,f(u))))","There exists v, if x is a cat if and only if x is a dog, then if x equals z, then v is greater than f(u)"
∀w (Cat(w) → f(u) = w),"For every w, if w is a cat, then f(u) equals w"
Odd(f(f(u))),F(f(u)) is odd
"¬((Mortal(v) ∨ Equal(z,0)) ↔ Greater(w,u))",It is not the case that v is mortal or z is equal to 0 if and only if w is greater than u
Student(g(w)),G(w) is a student
"((∃v (Prime(v) ∧ Knows(0,1)) → Mortal(v)) ∨ ¬∃z (Student(z) ∧ Human(0)))","If There exists v such that v is prime and 0 knows 1, then v is mortal or It is not the case that There exists z such that z is a student and 0 is a human"
g(x) = z,G(x) equals z
Even(f(u)),F(u) is even
"∃y (Even(y) ∧ ∀u (Mortal(u) → ¬Equal(c,f(z))))","There exists y such that y is even and For every u, if u is mortal, then It is not the case that c is equal to f(z)"
0 = y,0 equals y
¬∀x w = x,"It is not the case that For every x, w equals x"
"Subset(v,z)",V is a subset of z
"(Likes(u,w) → ((y = y ∨ Member(c,g(a))) ∨ (Greater(x,x) ∧ Greater(2,v))))","If u likes w, then y equals y or c is a member of g(a) or x is greater than x and 2 is greater than v"
"((∀w (Animal(w) → ParentOf(h(w),g(b))) ∧ (x = h(y) ∧ g(w) = 2)) ↔ ∃x (Animal(x) ∧ (Subset(h(g(z)),z) → Student(h(y)))))","For every w, if w is an animal, then h(w) is a parent of g(b) and x equals h(y) and g(w) equals 2 if and only if There exists x such that x is an animal and if h(g(z)) is a subset of z, then h(y) is a student"
"(Friend(x,b) ↔ (¬1 = z → 2 = w))","X is a friend of b if and only if if It is not the case that 1 equals z, then 2 equals w"
"Knows(v,f(g(v)))",V knows f(g(v))
"ParentOf(g(x),h(v))",G(x) is a parent of h(v)
∃y (Student(h(w)) ∧ ∃w (Cat(w) ∧ Mortal(u))),"There exists y, h(w) is a student and There exists w such that w is a cat and u is mortal"
"Knows(h(y),w)",H(y) knows w
"Friend(u,x)",U is a friend of x
"(∀w (Human(w) → ¬u = h(x)) ↔ (Mortal(g(w)) → (Professor(y) ∧ Knows(w,c))))","For every w, if w is a human, then It is not the case that u equals h(x) if and only if if g(w) is mortal, then y is a professor and w knows c"
"¬∃u ∃y (Prime(y) ∧ Less(c,g(z)))","It is not the case that There exists u, There exists y such that y is prime and c is less than g(z)"
"(∀x (Mortal(x) → (g(u) = y ∧ Mortal(z))) ∨ (∃w Friend(a,a) ∨ Professor(v)))","For every x, if x is mortal, then g(u) equals y and z is mortal or There exists w, a is a friend of a or v is a professor"
f(y) = 2,F(y) equals 2
"(∃y (Greater(c,0) → Student(v)) ↔ ∀v (Odd(v) → ParentOf(w,v)))","There exists y, if c is greater than 0, then v is a student if and only if For every v, if v is odd, then w is a parent of v"
"¬Less(v,2)",It is not the case that v is less than 2
¬(Cat(g(x)) ∧ Prime(h(w))),It is not the case that g(x) is a cat and h(w) is prime
"¬((Loves(0,g(g(z))) → Cat(w)) ∧ x = c)","It is not the case that if 0 loves g(g(z)), then w is a cat and x equals c"
¬∃z (Human(z) ∧ (Dog(z) → Human(0))),"It is not the case that There exists z such that z is a human and if z is a dog, then 0 is a human"
"∀u (∀w (Prime(w) → Dog(f(z))) → (Knows(h(u),x) ↔ Friend(g(w),z)))","For every u, if For every w, if w is prime, then f(z) is a dog, then h(u) knows x if and only if g(w) is a friend of z"
¬¬¬Student(a),It is not the case that It is not the case that It is not the case that a is a student
"∃z (Mortal(z) ∧ (Cat(b) ↔ ∀w (Animal(w) → Member(c,a))))","There exists z such that z is mortal and b is a cat if and only if For every w, if w is an animal, then c is a member of a"
¬(∀w (Animal(w) → Dog(f(y))) ↔ Even(f(1))),"It is not the case that For every w, if w is an animal, then f(y) is a dog if and only if f(1) is even"
¬¬Human(v),It is not the case that It is not the case that v is a human
∀v (Cat(v) → (¬Dog(h(2)) ∧ Student(w))),"For every v, if v is a cat, then It is not the case that h(2) is a dog and w is a student"
∀y (Cat(y) → f(w) = 1),"For every y, if y is a cat, then f(w) equals 1"
¬∀x (Dog(x) → (Prime(c) ∨ Prime(f(u)))),"It is not the case that For every x, if x is a dog, then c is prime or f(u) is prime"
"∀y (Even(y) → ∀u (Dog(u) → ¬Loves(f(z),x)))","For every y, if y is even, then For every u, if u is a dog, then It is not the case that f(z) loves x"
"Member(v,g(2))",V is a member of g(2)
"∃u (Cat(u) ∧ ¬¬Greater(h(g(x)),g(g(z))))",There exists u such that u is a cat and It is not the case that It is not the case that h(g(x)) is greater than g(g(z))
"(∃u (Dog(u) ∧ ∃v (Human(v) ∧ Subset(g(v),u))) ↔ Even(y))",There exists u such that u is a dog and There exists v such that v is a human and g(v) is a subset of u if and only if y is even
∀z f(v) = c,"For every z, f(v) equals c"
Even(f(x)),F(x) is even
"(¬∃y (Mortal(y) ∧ Member(g(f(z)),f(u))) ∧ ∀y ¬c = h(1))","It is not the case that There exists y such that y is mortal and g(f(z)) is a member of f(u) and For every y, It is not the case that c equals h(1)"
∀v h(z) = w,"For every v, h(z) equals w"
¬(∃z (Cat(z) ∧ Even(1)) ∨ v = b),It is not the case that There exists z such that z is a cat and 1 is even or v equals b
Human(h(w)),H(w) is a human
∃y (Animal(y) ∧ Odd(2)),There exists y such that y is an animal and 2 is odd
"¬Likes(f(x),f(1))",It is not the case that f(x) likes f(1)
"(¬Member(h(g(b)),g(a)) ∨ ∀v (Student(v) → (Loves(z,f(v)) ∧ z = f(u))))","It is not the case that h(g(b)) is a member of g(a) or For every v, if v is a student, then z loves f(v) and z equals f(u)"
"¬((Subset(f(u),f(v)) ∨ Member(u,x)) ↔ Professor(y))",It is not the case that f(u) is a subset of f(v) or u is a member of x if and only if y is a professor
(a = b → ∀x (Professor(x) → u = 1)),"If a equals b, then For every x, if x is a professor, then u equals 1"
"Less(u,w)",U is less than w
"(c = v ↔ ¬¬Greater(y,z))",C equals v if and only if It is not the case that It is not the case that y is greater than z
"(∃y Less(0,y) ↔ Cat(x))","There exists y, 0 is less than y if and only if x is a cat"
"¬Less(y,x)",It is not the case that y is less than x
"(((Dog(h(y)) ↔ Odd(v)) → ∀w (Professor(w) → Professor(2))) → Less(z,0))","If if h(y) is a dog if and only if v is odd, then For every w, if w is a professor, then 2 is a professor, then z is less than 0"
"Member(g(u),g(f(u)))",G(u) is a member of g(f(u))
"(∃z (Student(z) ∧ ∀y Equal(w,1)) ∧ Likes(h(g(w)),z))","There exists z such that z is a student and For every y, w is equal to 1 and h(g(w)) likes z"
"((∃x (Animal(x) ∧ Human(z)) ↔ Subset(v,h(b))) ∧ (Friend(2,1) ↔ x = f(w)))",There exists x such that x is an animal and z is a human if and only if v is a subset of h(b) and 2 is a friend of 1 if and only if x equals f(w)
"¬Member(w,y)",It is not the case that w is a member of y
¬(Cat(x) ∧ v = g(x)),It is not the case that x is a cat and v equals g(x)
"(Prime(x) ∧ (Subset(u,x) ∨ Friend(b,1)))",X is prime and u is a subset of x or b is a friend of 1
Student(h(w)),H(w) is a student
¬Prime(g(u)),It is not the case that g(u) is prime
"¬(g(y) = c ∧ Knows(h(x),y))",It is not the case that g(y) equals c and h(x) knows y
Professor(g(v)),G(v) is a professor
(∃w (Student(w) ∧ ∃y Odd(w)) ∨ ∃x y = y),"There exists w such that w is a student and There exists y, w is odd or There exists x, y equals y"
"Greater(0,h(y))",0 is greater than h(y)
y = 2,Y equals 2
"Equal(w,g(b))",W is equal to g(b)
"Subset(h(g(y)),v)",H(g(y)) is a subset of v
"(∃u (Prime(u) ∧ Knows(h(a),h(g(v)))) ↔ ∀z ∃u (Even(u) ∧ Even(y)))","There exists u such that u is prime and h(a) knows h(g(v)) if and only if For every z, There exists u such that u is even and y is even"
